Date,SAT,RES,LAT,LON,L_MIR,L_TIR,ZEN,AZI
03-Mar-2024 07:30:01,VIIRS375,375,9954339.6898693,662612.694496605,0.986270143921084,7.74479959932186,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9955089.6898693,662612.694496605,1.13798456629727,7.19593911042744,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9952839.6898693,663362.694496605,1.31759094863313,7.99988583444029,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9953964.6898693,663362.694496605,1.17520770427698,7.93295360703563,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9952464.6898693,664112.694496605,1.41948520356551,8.04780052473672,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958464.6898693,664112.694496605,0.912163016653994,5.66305704430387,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9955839.6898693,664487.694496605,0.892068420913925,5.09049137844252,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9956214.6898693,664487.694496605,0.788252162927066,4.98317258332612,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958464.6898693,664487.694496605,0.944303826052565,5.64124346598718,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9952089.6898693,664862.694496605,1.34986182071645,8.10775429775159,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9956964.6898693,664862.694496605,0.681804028746265,4.82751301322923,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958089.6898693,664862.694496605,0.697782655294261,5.09477750113515,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958839.6898693,664862.694496605,1.25606213593288,7.22640290750749,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9954714.6898693,665237.694496605,1.15500632286312,8.00062881007544,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9955464.6898693,665237.694496605,1.73968985961104,10.2589760577222,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9951339.6898693,665987.694496605,1.35772912355675,8.02610621711339,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958839.6898693,666362.694496605,1.35781121187744,7.77876287495865,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9959214.6898693,666362.694496605,0.967398628470531,7.71769060722492,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9952464.6898693,667487.694496605,1.4179420436644,8.15133765200724,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958089.6898693,667487.694496605,1.25374916801514,8.03802053697362,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9953214.6898693,668237.694496605,1.36494066140718,8.23998812138014,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9953964.6898693,668237.694496605,1.32221315080877,8.241490328064,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9956589.6898693,659237.694496605,0.503863829980889,7.05633399173826,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9957339.6898693,659612.694496605,0.578540042092298,6.6234822037623,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9957714.6898693,659612.694496605,0.538200346058316,5.99252454343018,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9959964.6898693,659987.694496605,0.801275445520631,6.40937051248601,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9960339.6898693,659987.694496605,0.821932675026447,6.24571761208907,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958839.6898693,660362.694496605,0.448261356560537,5.84506035023129,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9957714.6898693,660737.694496605,0.348589735976879,5.56030329379121,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958839.6898693,660737.694496605,0.590131548691425,6.70236807636828,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9959214.6898693,660737.694496605,0.914534840272574,6.84546675595428,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9959589.6898693,660737.694496605,0.761210155732486,6.47875197218527,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9957714.6898693,661112.694496605,0.30257573547703,5.62219421571677,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958839.6898693,661112.694496605,0.585285241753878,6.76914529345472,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9960339.6898693,661112.694496605,0.873044840697503,6.95731738695875,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958089.6898693,661487.694496605,0.390935017709129,5.65534819116399,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9959589.6898693,661487.694496605,0.74967606330745,6.33840984466701,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9960339.6898693,661487.694496605,0.873818329402977,7.22361120709597,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9960714.6898693,661487.694496605,0.898208619236724,7.00115648666453,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958089.6898693,661862.694496605,0.520819611721905,5.7008454910803,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9959589.6898693,661862.694496605,1.18106678212179,6.85891209867023,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958089.6898693,662237.694496605,0.608588564267202,5.83748590668672,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9959589.6898693,662237.694496605,1.17038618606292,7.64282103392509,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958464.6898693,662612.694496605,0.646108185160293,5.94378847700392,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958839.6898693,662612.694496605,1.22063098803418,7.07048504525501,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9959214.6898693,662987.694496605,1.12346995908166,8.00090082783032,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9959214.6898693,663362.694496605,0.926673370023343,8.01169632402391,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958464.6898693,661862.694496605,1.13041948036318,5.87718661303051,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958839.6898693,661862.694496605,1.48218162394946,5.87856486603711,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9959214.6898693,661862.694496605,1.63806103606933,6.48845566310762,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958464.6898693,662237.694496605,1.27668305093922,6.78969189704118,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958839.6898693,662237.694496605,1.33034983310189,7.38942371461834,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9954714.6898693,662612.694496605,1.3707050946066,7.63710429651196,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9954339.6898693,662987.694496605,1.51156863286763,7.70647965278172,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9954714.6898693,662987.694496605,2.18382535457575,7.45902797855498,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9955089.6898693,662987.694496605,1.25265337198712,6.49373110835754,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958839.6898693,662987.694496605,2.18434436903242,6.33971954960301,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9953214.6898693,663362.694496605,1.5584664646523,7.94034345404064,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9954339.6898693,663362.694496605,2.53660989984946,7.63380211033708,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9954714.6898693,663362.694496605,3.03884458095812,7.21831158309041,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9955089.6898693,663362.694496605,1.61580089745348,5.72146211827195,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9958839.6898693,663362.694496605,1.60585001291105,6.3550313665054,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9952839.6898693,663737.694496605,1.8317677471989,7.89657683342774,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9953214.6898693,663737.694496605,1.77796329718512,7.92557839925976,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9953589.6898693,663737.694496605,1.48289948212473,7.96739567670432,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9953964.6898693,663737.694496605,2.25196681154112,7.83929667033167,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9954339.6898693,663737.694496605,3.20154417858443,7.54586084682056,7.61904516178494,-80.4643299339407
03-Mar-2024 07:30:01,VIIRS375,375,9954714.6898693,663737.694496605,3.46807314184126,6.93863922458981,7.61904516178494,-80.4643299339407
